content_type,content_id,original_url,local_filename,alt_text,image_type,dimensions
pwa,icon_96,https://via.placeholder.com/96x96/4f46e5/ffffff?text=IN,assets/icons/icon-96x96.png,Influencer News PWA icon 96x96,icon,96x96
pwa,icon_128,https://via.placeholder.com/128x128/4f46e5/ffffff?text=IN,assets/icons/icon-128x128.png,Influencer News PWA icon 128x128,icon,128x128
pwa,icon_144,https://via.placeholder.com/144x144/4f46e5/ffffff?text=IN,assets/icons/icon-144x144.png,Influencer News PWA icon 144x144,icon,144x144
pwa,icon_152,https://via.placeholder.com/152x152/4f46e5/ffffff?text=IN,assets/icons/icon-152x152.png,Influencer News PWA icon 152x152,icon,152x152
pwa,icon_192,https://via.placeholder.com/192x192/4f46e5/ffffff?text=IN,assets/icons/icon-192x192.png,Influencer News PWA icon 192x192,icon,192x192
pwa,icon_384,https://via.placeholder.com/384x384/4f46e5/ffffff?text=IN,assets/icons/icon-384x384.png,Influencer News PWA icon 384x384,icon,384x384
pwa,icon_512,https://via.placeholder.com/512x512/4f46e5/ffffff?text=IN,assets/icons/icon-512x512.png,Influencer News PWA icon 512x512,icon,512x512

# PWA SHORTCUT ICONS
pwa,shortcut_latest,https://via.placeholder.com/96x96/10b981/ffffff?text=📰,assets/icons/shortcut-latest.png,Latest news shortcut icon,shortcut,96x96
pwa,shortcut_search,https://via.placeholder.com/96x96/f59e0b/ffffff?text=🔍,assets/icons/shortcut-search.png,Search shortcut icon,shortcut,96x96
pwa,shortcut_categories,https://via.placeholder.com/96x96/8b5cf6/ffffff?text=📁,assets/icons/shortcut-categories.png,Categories shortcut icon,shortcut,96x96

# PWA SCREENSHOTS (For app store listings)
pwa,screenshot_mobile,https://via.placeholder.com/640x1136/f3f4f6/374151?text=Mobile%20Homepage,assets/screenshots/mobile-home.png,Mobile homepage screenshot,screenshot,640x1136
pwa,screenshot_tablet,https://via.placeholder.com/1024x768/f3f4f6/374151?text=Tablet%20Homepage,assets/screenshots/tablet-home.png,Tablet homepage screenshot,screenshot,1024x768

# EXISTING SCREENSHOTS (Already present - may need updating)
# Note: These exist but may need to be updated to match current design
existing,screenshot_home,UPDATE_EXISTING,assets/images/screenshots/home.png,Homepage screenshot - needs review,screenshot,CURRENT_SIZE
existing,screenshot_search,UPDATE_EXISTING,assets/images/screenshots/search.png,Search page screenshot - needs review,screenshot,CURRENT_SIZE
existing,screenshot_article,UPDATE_EXISTING,assets/images/screenshots/article.png,Article page screenshot - needs review,screenshot,CURRENT_SIZE
existing,screenshot_authors,UPDATE_EXISTING,assets/images/screenshots/authors.png,Authors page screenshot - needs review,screenshot,CURRENT_SIZE

# APP STORE ASSETS (Additional PWA assets)
pwa,favicon_16,https://via.placeholder.com/16x16/4f46e5/ffffff?text=I,favicon-16x16.png,Favicon 16x16,favicon,16x16
pwa,favicon_32,https://via.placeholder.com/32x32/4f46e5/ffffff?text=I,favicon-32x32.png,Favicon 32x32,favicon,32x32
pwa,apple_touch_icon,https://via.placeholder.com/180x180/4f46e5/ffffff?text=IN,apple-touch-icon.png,Apple touch icon,apple_icon,180x180

# BACKGROUND PATTERNS AND TEXTURES
background,gradient_1,https://images.unsplash.com/photo-1557683304-673a23048d34?w=1920&h=1080&fit=crop,background_gradient_1.jpg,Background gradient pattern 1,background,1920x1080
background,gradient_2,https://images.unsplash.com/photo-1557683311-eac922347aa1?w=1920&h=1080&fit=crop,background_gradient_2.jpg,Background gradient pattern 2,background,1920x1080
background,texture_1,https://images.unsplash.com/photo-1557683316-973673baf926?w=1920&h=1080&fit=crop,background_texture_1.jpg,Background texture pattern 1,background,1920x1080

# ================================
# IMAGE PROCUREMENT SUMMARY
# ================================
# 
# CRITICAL PRIORITY (Required for basic functionality):
# - PWA Icons: All icon-*.png files in assets/icons/ (72x72 to 512x512)
# - Default fallback: assets/images/default-article.jpg
# - Apple touch icon and favicons for PWA compliance
# 
# HIGH PRIORITY (Important for user experience):
# - Author profile images for all 5 authors
# - Article hero images for existing articles
# - PWA shortcut icons and screenshots
# 
# MEDIUM PRIORITY (Enhanced experience):
# - Category featured and thumbnail images
# - Trending topic images
# - Site-wide images (logo, newsletter, etc.)
# 
# LOW PRIORITY (Nice to have):
# - Background patterns and textures
# - Platform icons for social media
# - Responsive mobile variants
# 
# DIRECTORY STRUCTURE NEEDED:
# /assets/icons/ (create directory)
# /assets/images/ (exists)
# /assets/screenshots/ (exists, may need updates)
# 
# PROCUREMENT NOTES:
# - Use placeholder.com URLs for temporary testing
# - Use Unsplash URLs for high-quality stock photos
# - Ensure all icons use consistent branding (theme color: #4f46e5)
# - Screenshots should be actual captures of the live site
# - All images should be optimized for web (under 200KB recommended)
